robot_id	displacement_velocity_hill	head_balance	contacts	displacement_velocity	branching	branching_modules_count	limbs	extremities	length_of_limbs	extensiveness	coverage	joints	hinge_count	active_hinges_count	brick_count	touch_sensor_count	brick_sensor_count	proportion	width	height	absolute_size	sensors	symmetry	avg_period	dev_period	avg_phase_offset	dev_phase_offset	avg_amplitude	dev_amplitude	avg_intra_dev_params	avg_inter_dev_params	sensors_reach	recurrence	synaptic_reception	fitness
3514	0.008266736083402528	0.5583926259056391	0.0	0.01324237114604599	0	0	0.07692307692307693	1	1.0	17	1.0	0.9411764705882353	17	16	1	2	0	0.05263157894736842	1	19	19	0.4	0	0.4963170109726329	0.9472832380100501	0.6615046550765503	0.8586995002901314	0.24885831250668092	0.8641880148138625	0.9123199206286835	0.8985519722095215	0.5294117647058824	0.11764705882352941	0.0	0.008266736083402528
2028	0.0021265095188635896	0.6746662482642121	0.0	0.0026132504164868794	0	0	0.1111111111111111	1	1.0	11	1.0	1.0	12	11	0	1	0	0.07692307692307693	1	13	13	0.3333333333333333	0	0.596955489661354	0.8349249652251495	0.5045705367211699	0.8841265772658898	0.5476525330661451	0.8200749981638384	0.8242638492021102	0.8485533768639235	1.0	0.3333333333333333	0.0	0.0021265095188635896
2568	0.038955608985059315	0.9620053848692672	0.0	0.03896201455012294	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	1	0	0.05555555555555555	1	18	18	0.3333333333333333	0	0.4963170109726329	0.9435717355604568	0.6615046550765503	0.8527685682851868	0.24885831250668092	0.8564928953851937	0.9123199206286835	0.8928206440815493	1.0	0.11764705882352941	0.0	0.038955608985059315
2400	0.0012337840168881013	0.6742872204943268	0.0	0.0021201581535402326	0	0	0.14285714285714285	1	1.0	8	1.0	1.0	9	8	0	1	0	0.1	1	10	10	0.3333333333333333	0	0.9822739520337083	0.8548915949408887	0.7223030759018529	0.7953925263892221	0.7224851036884393	0.7219225161704552	0.7872866655773615	0.7960441859029882	1.0	0.2222222222222222	0.0	0.0012337840168881013
1196	-0.005237998463318098	0.9703288488907005	0.0	0.0064675493972032585	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9314173740592685	0.6615046550765503	0.852344128353055	0.24885831250668092	0.8491568006043503	0.9123199206286835	0.883903457034775	1.0	0.0625	0.0	-0.0005237998463318098
731	-0.019318229895002884	0.7017227834170237	0.0	0.020575446053428016	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	0	0	0.058823529411764705	17	1	17	0.0	0	0.26243272186161803	0.7292448324072046	0.935224272650391	0.8951702884984082	0.5631244690910139	0.8504606318887982	0.9447221250645388	0.8354234949047622	0	0	0.0	-0.0019318229895002883
2677	0.038955608985059315	0.9620053848692672	0.0	0.03896201455012294	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	1	0	0.05555555555555555	1	18	18	0.3333333333333333	0	0.4963170109726329	0.9435717355604568	0.6615046550765503	0.8527685682851868	0.24885831250668092	0.8564928953851937	0.9123199206286835	0.8928206440815493	1.0	0.11764705882352941	0.0	0.038955608985059315
1544	0.03571607039085205	0.7245527006710628	0.0	0.03625312028527421	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.03571607039085205
3194	0.042174100370879535	0.9626980362150948	0.0	0.045853005093046025	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.042174100370879535
466	0.008720846291786925	0.6129804586542409	0.0	0.00998003612050233	0	0	0.07692307692307693	1	1.0	17	0.2923076923076923	0.8823529411764706	16	15	2	0	0	0.38461538461538464	5	13	19	0.0	0	0.37824431726628155	0.9202361514713512	0.7796554385974853	0.9480565512230783	0.4635562647843277	0.9019550430389066	0.9157753774747512	0.9257375744095047	0	0	0.0	0.008720846291786925
