robot_id,branching,branching_modules_count,limbs,extremities,length_of_limbs,extensiveness,coverage,joints,hinge_count,active_hinges_count,brick_count,touch_sensor_count,brick_sensor_count,proportion,width,height,absolute_size,sensors,symmetry,avg_period,dev_period,avg_phase_offset,dev_phase_offset,avg_amplitude,dev_amplitude,avg_intra_dev_params,avg_inter_dev_params,sensors_reach,recurrence,synaptic_reception
29,0,0,0.3333333333333333,1,1.0,2,0.6666666666666666,0.5,2,1,1,0,0,0.6666666666666666,3,2,4,0.0,0,0.286355247446486,0.7745470885551845,0.414896346420975,0.8319464450451926,0.8719140177631756,0.5937913281358488,0.9399778623452588,0.7448069019138375,0,0,0.0
30,0,0,0.14285714285714285,2,0.8888888888888888,16,0.22727272727272727,0.5555555555555556,12,10,7,5,0,0.7272727272727273,11,8,20,0.3125,0,0.500386295555705,0.9101019171352845,0.6365742229525981,0.8840195573138726,0.3971507611710824,0.8889705035240373,0.8633203980502893,0.8949252862182387,0.08333333333333333,0.08333333333333333,0.0
31,0,0,0.18181818181818182,4,0.8709677419354839,27,0.15789473684210525,0.6451612903225806,22,20,10,1,0,0.5789473684210527,19,11,33,0.045454545454545456,0.09090909090909091,0.37990474484751824,0.7966667346512663,0.28993848333448274,0.8246817923426057,0.8240740744547349,0.7913045615598907,0.9042429728392833,0.8046472908447918,1.0,0.045454545454545456,0.0
32,0,0,0,0,0,0,1.0,0,0,0,0,1,0,1.0,1,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0.3,3,0.75,9,0.5384615384615384,0.6666666666666666,10,8,3,3,0,0.15384615384615385,13,2,14,0.375,0.15384615384615385,0.3726517536655256,0.9262612069455115,0.42091775798487274,0.8389796788650713,0.6371868560903448,0.9113266910111121,0.8866020508019093,0.8975605376618793,0.8,0.2,0.0
34,0.3333333333333333,1,0.75,6,0.2,2,0.6,0.2,5,2,6,2,0,0.8,4,5,12,0.15384615384615385,0.25,0.10397896727811189,0.974445152459103,0.32454335100651105,0.742579950481772,0.6434035495490643,0.9590916820746733,0.9041282583377303,0.9320346478167957,0.6,0.4,0.0
35,0.5,1,0.5714285714285714,4,0.625,5,0.6666666666666666,0.25,6,2,3,0,0,0.6,3,5,10,0.0,0.5714285714285714,0.8307717936606067,0.9098828680130205,0.8093320460664778,0.9217840669678978,0.5734944169167868,0.9522801503255114,0.9080954003806873,0.930270483250379,0,0,0.0
36,0,0,0.375,3,0.8,8,0.6,0.5,6,5,5,1,0,0.8,5,4,12,0.07692307692307693,0.25,0.43702121946579037,0.9811827977939994,0.6187633606187707,0.8754261672275947,0.9048207271792663,0.9092151510458545,0.9449374695955897,0.9391156784185101,1.0,0.3333333333333333,0.0
37,0,0,0.125,1,1.0,10,1.0,1.0,11,10,0,0,0,0.08333333333333333,1,12,12,0.0,0,0.5332396266545063,0.7947953218473139,0.7759718397488875,0.9484954786047418,0.5533580358638656,0.7988108066116328,0.8322144166282124,0.8678468957682803,0,0,0.0
38,0,0,0.25,2,0.8888888888888888,8,0.4074074074074074,0.4444444444444444,6,4,4,6,0,0.3333333333333333,9,3,11,0.6,0,0.49883763281036925,0.939316165095346,0.6896553231311733,0.9428421501128417,0.7134045714223708,0.9005917055348646,0.8853543203239665,0.9297022416233712,0.3333333333333333,0.16666666666666666,0.0
39,0,0,0.3333333333333333,1,1.0,2,0.6666666666666666,0.5,2,1,1,0,0,0.6666666666666666,3,2,4,0.0,0,0.15668030136618052,0.6380251604632418,0.5898502551258373,0.9114326331318195,0.32363668314778854,0.5035206377230316,0.8600719252024197,0.7252616581494787,0,0,0.0
40,0,0,0.3,3,0.6666666666666666,8,0.4666666666666667,0.3333333333333333,7,4,6,5,0,0.3,10,3,14,0.38461538461538464,0,0.351578362200555,0.7815927037551947,0.4035342994220567,0.8918109114913825,0.7525239992210232,0.9636098049543698,0.8420490814116263,0.9020527796792804,0.2857142857142857,0.42857142857142855,0.0
41,0,0,0.3333333333333333,1,1.0,2,0.6666666666666666,0.5,2,1,1,0,0,0.6666666666666666,2,3,4,0.0,0,0.7633054149741636,0.8344425065222737,0.5461886007447841,0.9836626294274083,0.15018278347457975,0.6228887829063394,0.9691286016243094,0.8881882432896108,0,0,0.0
42,0,0,0.05,1,1.0,27,0.25892857142857145,0.7777777777777778,22,21,6,1,0,0.5714285714285714,14,8,29,0.06666666666666667,0.14814814814814814,0.32277232299159964,0.7458431049753125,0.3368303670998321,0.8961133353550197,0.3504817316167329,0.9013569438817459,0.7567671455658238,0.8599138294263394,1.0,0.22727272727272727,0.0
43,0,0,0.36363636363636365,4,0.6428571428571429,9,0.2857142857142857,0.5714285714285714,11,8,4,4,0,0.875,7,8,16,0.4444444444444444,0,0.8042521379442549,0.7739802436593496,0.645513435651152,0.909783877231645,0.558594077621323,0.9024246409335511,0.8542165219488193,0.8723755100792585,0.2272727272727273,0.18181818181818182,0.0
44,0,0,0.041666666666666664,1,1.0,34,0.1565217391304348,0.7058823529411765,25,24,10,0,0,0.43478260869565216,23,10,36,0.0,0.12903225806451613,0.6887211743227358,0.9285970086915752,0.5698207098338457,0.8661063725435527,0.5748291328633772,0.8912102137687062,0.7928155091871221,0.8983009039696223,0,0,0.0
45,0,0,1.0,1,0,0,1.0,0,1,0,0,0,0,0.5,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
